template_id,template_name,category,template_version,lifecycle_status,readiness_status,requires_human_gate,required_integrations,workflow_label,manual_path_status,autonomous_path_status,start_api_result,execution_id,terminal_status,approval_encountered,approval_completed,fallback_simulation_observed,error_code,error_message,root_cause_category,evidence_ref
ef45aea5-79e4-4702-bc71-b5b912d13bf3,A/B Testing Workflow,data,1,published,ready,True,[],human-gated,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:A/B Testing Workflow
47ff2419-50da-44bd-ad3f-5a22d3dd3762,Account Renewal,sales,1,published,ready,False,[],integration-dependent,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,200,0babc8aa-65fd-44b8-a719-7b9c57eb7280,,False,False,unknown,,,env,workflow:Account Renewal
4ea720b8-9419-4cad-82d1-c5bc968972dc,Ad Campaign Management,marketing,1,published,ready,False,[],degraded-simulation-prone,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Ad Campaign Management
b177a5b9-8bdf-460b-99d2-cfd534055e0c,Analytics Implementation,data,1,published,ready,False,[],integration-dependent,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Analytics Implementation
543ff4e4-0399-419b-9c01-1f414806b3a3,Benefits Enrollment,hr,1,published,ready,False,[],integration-dependent,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Benefits Enrollment
179d755e-9652-4d0f-a89e-38691d094517,Beta Testing Program,product,1,published,ready,False,[],degraded-simulation-prone,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Beta Testing Program
3c3f8288-2bf3-445c-84c0-cbfcdd8120e9,Budget Planning,finance,1,published,ready,False,[],degraded-simulation-prone,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Budget Planning
906c0de4-8a40-4248-b8c4-a62784f56b5a,Bug Triage,product,1,published,ready,False,[],degraded-simulation-prone,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,200,a921f60d-ecfe-4d59-83a9-e0945c00d5bd,,False,False,unknown,,,env,workflow:Bug Triage
a5558742-0676-4db0-a9ee-c59b7df64e9e,Cash Flow Management,finance,1,published,ready,False,[],degraded-simulation-prone,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Cash Flow Management
8e1c4d29-5896-44f4-a806-482232170476,Churn Prevention,support,1,published,ready,False,[],degraded-simulation-prone,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Churn Prevention
5f8e8097-eb0b-4c80-8815-16c2f544f296,Competitor Analysis Workflow,strategy,1,published,ready,True,[],human-gated,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Competitor Analysis Workflow
84bd6c8d-d28b-4a84-b65d-a95b328c0a9e,Content Creation Workflow,marketing,1,published,ready,False,[],fully autonomous,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Content Creation Workflow
72975935-8f83-4497-8b8a-9311abf3de0b,Content Creation Workflow (Extended),content,1,published,ready,True,[],human-gated,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Content Creation Workflow (Extended)
cc572b56-a2ee-42cd-ae6b-6d95ca58ff26,Contract Review,legal,1,published,ready,False,[],degraded-simulation-prone,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,429,,,False,False,unknown,,,env,workflow:Contract Review
