journey_id,persona,title,category,primary_workflow_template_name,primary_template_exists,journey_readiness_status,outcomes_prompt_present,requires_desired_outcomes,requires_timeline,manual_path_status,autonomous_path_status,initiative_created,initiative_id,workflow_started,workflow_execution_id,workflow_terminal_or_gate_status,frontend_path_exists,api_path_exists,browser_subset_tested,error_code,error_message,root_cause_category,evidence_ref
7c34067e-ea1a-4aa4-ad6a-23d1e7d9454a,enterprise,AI Governance Framework,compliance,Data Governance Audit,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:7c34067e-ea1a-4aa4-ad6a-23d1e7d9454a
3a27800d-51cd-4f3b-803f-48e4cfa023da,enterprise,Board Governance Review,strategy,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:3a27800d-51cd-4f3b-803f-48e4cfa023da
7e24fc17-9803-4c30-ae7f-803cb5fac00f,enterprise,Brand Architecture Review,marketing,Content Creation Workflow,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:7e24fc17-9803-4c30-ae7f-803cb5fac00f
0bd28b62-678a-4b1b-b756-fd319a2d495e,enterprise,Business Continuity Test,operations,Crisis Management Response,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:0bd28b62-678a-4b1b-b756-fd319a2d495e
857508ef-ac21-42bc-b207-2d8f009ce54b,enterprise,Center of Excellence Setup,strategy,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:857508ef-ac21-42bc-b207-2d8f009ce54b
8f1b18d7-dc1a-4ce2-b4bb-f1ff9e4d372b,enterprise,Change Management Framework,operations,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:8f1b18d7-dc1a-4ce2-b4bb-f1ff9e4d372b
114f250e-d42c-43e9-85f3-81f84bf155e0,enterprise,Cloud Migration Strategy,strategy,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:114f250e-d42c-43e9-85f3-81f84bf155e0
67b9f05c-df6e-403b-b468-512cf36927a9,enterprise,Corporate University,hr,Content Creation Workflow,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:67b9f05c-df6e-403b-b468-512cf36927a9
fa7e0feb-635c-4e28-9620-a06c7033f154,enterprise,Corporate Venture Capital,strategy,Partnership Development,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:fa7e0feb-635c-4e28-9620-a06c7033f154
1d283f22-5111-4760-83d1-51170158d75d,enterprise,Crisis Communication Playbook,support,Crisis Management Response,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:1d283f22-5111-4760-83d1-51170158d75d
7070b9ab-ac8a-4452-bed0-b8af9624d75a,enterprise,Cyber Incident Response,compliance,Incident Investigation,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:7070b9ab-ac8a-4452-bed0-b8af9624d75a
d1190c49-1383-4cf6-b8e4-b0f01789491d,enterprise,Data Lake Architecture,operations,Data Pipeline Setup,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:d1190c49-1383-4cf6-b8e4-b0f01789491d
73e53899-22cc-4669-8cc2-db4790fc96aa,enterprise,Digital Transformation Roadmap,strategy,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:73e53899-22cc-4669-8cc2-db4790fc96aa
35302d9d-91c1-4ab7-ad9b-a114ad261ec2,enterprise,Diversity Annual Report,hr,Content Creation Workflow,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:35302d9d-91c1-4ab7-ad9b-a114ad261ec2
2ec20c7e-ddd3-41c1-b304-e145528c4231,enterprise,ESG Strategy,strategy,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:2ec20c7e-ddd3-41c1-b304-e145528c4231
888d235f-cd14-48d1-973c-205b0430d6ee,enterprise,Enterprise-wide ERP Rollout,operations,Roadmap Planning,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:888d235f-cd14-48d1-973c-205b0430d6ee
a21c929c-f3fc-4b27-815e-9f1c3029f875,enterprise,Executive Compensation Review,hr,Performance Review,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:a21c929c-f3fc-4b27-815e-9f1c3029f875
1d8acff8-59ba-4bfd-83ea-9ec9d242c26b,enterprise,GDPR/CCPA Compliance,compliance,GDPR Compliance Audit,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:1d8acff8-59ba-4bfd-83ea-9ec9d242c26b
7d089796-2303-4586-9ee9-81a73721b563,enterprise,Global Compliance Audit,compliance,GDPR Compliance Audit,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:7d089796-2303-4586-9ee9-81a73721b563
37909f36-8cfc-4597-9158-d56aaf628fd4,enterprise,Global Knowledge Management,operations,Knowledge Base Update,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:37909f36-8cfc-4597-9158-d56aaf628fd4
b25e2bd4-1b61-4905-9466-a2eb36ed4e9f,enterprise,Global Marketing Campaign,marketing,Ad Campaign Management,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:b25e2bd4-1b61-4905-9466-a2eb36ed4e9f
70e28754-f009-42e3-b5ad-b369237097c0,enterprise,Global Mobility Program,hr,Policy Update,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:70e28754-f009-42e3-b5ad-b369237097c0
3f9e1ad4-710e-4d02-b943-42f27aa998a8,enterprise,Global Payroll Consolidation,hr,Payroll Processing,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:3f9e1ad4-710e-4d02-b943-42f27aa998a8
76dfb508-6bad-4319-bb57-eb01ce01e4f9,enterprise,Global Tax Strategy,finance,Strategic Planning Cycle,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:76dfb508-6bad-4319-bb57-eb01ce01e4f9
860bc9d1-bf7a-45a7-9ea0-fc24bec1169b,enterprise,Innovation Lab Launch,product,Initiative Framework,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:860bc9d1-bf7a-45a7-9ea0-fc24bec1169b
7740ea6e-2744-4824-a729-9257ff501b88,enterprise,Internal Audit Cycle,compliance,Quality Assurance Audit,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:7740ea6e-2744-4824-a729-9257ff501b88
c1d0b894-913a-410a-8103-2ed2a1582f68,enterprise,Investor Relations Quarterly,strategy,Content Creation Workflow,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:c1d0b894-913a-410a-8103-2ed2a1582f68
133ed81a-61ea-4d1b-a48b-73af22a80977,enterprise,Leadership Development Program,hr,Performance Review,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:133ed81a-61ea-4d1b-a48b-73af22a80977
82cdff47-3134-491a-b3f5-65d9bd5705d3,enterprise,Legacy System Sunsetting,operations,Roadmap Planning,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:82cdff47-3134-491a-b3f5-65d9bd5705d3
691f83f7-ae38-4040-9598-94f1c8aaec3a,enterprise,Mainframe Modernization,operations,Roadmap Planning,True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:691f83f7-ae38-4040-9598-94f1c8aaec3a
d3198081-86e9-4bbd-9581-84bd3749f0b8,enterprise,Merger & Acquisition Integration,strategy,Merger & Acquisition (M&A),True,ready,True,True,True,BLOCKED_ENV_CONFIG,BLOCKED_AUTONOMY_ENV_CONFIG,False,,False,,,True,True,False,,,env,journey:d3198081-86e9-4bbd-9581-84bd3749f0b8
